Station,Year,Month,Day in Leq dB(A),Night in Leq dB(A),DayLimit,NightLimit
CHE01,2011,5,64,53,50,40
CHE01,2011,6,64,53,50,40
CHE01,2011,7,64,53,50,40
CHE01,2011,8,64,53,50,40
CHE01,2011,9,63,52,50,40
CHE01,2011,10,64,51,50,40
CHE01,2011,11,63,50,50,40
CHE01,2011,12,64,51,50,40
CHE02,2011,2,77,72,75,70
CHE02,2011,3,77,74,75,70
CHE02,2011,4,76,71,75,70
CHE02,2011,5,76,72,75,70
CHE02,2011,6,76,72,75,70
CHE02,2011,7,76,72,75,70
CHE02,2011,8,76,72,75,70
CHE02,2011,9,76,72,75,70
CHE02,2011,10,76,72,75,70
CHE02,2011,11,75,70,75,70
CHE02,2011,12,75,69,75,70
CHE03,2011,2,67,58,65,55
CHE03,2011,3,68,57,65,55
CHE03,2011,4,68,58,65,55
CHE03,2011,5,68,60,65,55
CHE03,2011,6,68,59,65,55
CHE03,2011,7,68,60,65,55
CHE03,2011,8,68,60,65,55
CHE03,2011,9,68,59,65,55
CHE03,2011,10,69,58,65,55
CHE03,2011,11,69,60,65,55
CHE03,2011,12,71,59,65,55
CHE04,2011,2,73,61,65,55
CHE04,2011,3,72,61,65,55
CHE04,2011,4,72,61,65,55
CHE04,2011,5,72,63,65,55
CHE04,2011,6,73,64,65,55
CHE04,2011,7,73,62,65,55
CHE04,2011,8,73,63,65,55
CHE04,2011,9,73,62,65,55
CHE04,2011,10,74,62,65,55
CHE04,2011,11,73,61,65,55
CHE04,2011,12,72,60,65,55
CHE05,2011,2,43,46,55,45
CHE05,2011,3,43,47,55,45
CHE05,2011,4,55,48,55,45
CHE05,2011,5,67,56,55,45
CHE05,2011,6,68,57,55,45
CHE05,2011,7,67,56,55,45
CHE05,2011,8,68,57,55,45
CHE05,2011,9,68,56,55,45
CHE05,2011,10,68,55,55,45
CHE05,2011,11,68,55,55,45
CHE05,2011,12,68,55,55,45
DEL01,2011,2,53,50,50,40
DEL01,2011,3,53,51,50,40
DEL01,2011,4,51,50,50,40
DEL01,2011,5,51,51,50,40
DEL01,2011,6,52,50,50,40
DEL01,2011,7,53,51,50,40
DEL01,2011,8,54,54,50,40
DEL01,2011,9,52,51,50,40
DEL01,2011,10,52,50,50,40
DEL01,2011,11,52,49,50,40
DEL01,2011,12,52,50,50,40
DEL02,2011,2,66,54,65,55
DEL02,2011,3,66,54,65,55
DEL02,2011,4,65,55,65,55
DEL02,2011,5,65,56,65,55
DEL02,2011,6,60,53,65,55
DEL02,2011,7,62,52,65,55
DEL02,2011,8,63,54,65,55
DEL02,2011,9,63,52,65,55
DEL02,2011,10,63,52,65,55
DEL02,2011,11,62,55,65,55
DEL02,2011,12,61,54,65,55
DEL03,2011,2,54,50,50,40
DEL03,2011,3,53,48,50,40
DEL03,2011,4,52,49,50,40
DEL03,2011,5,52,51,50,40
DEL03,2011,6,67,64,50,40
DEL03,2011,7,54,50,50,40
DEL03,2011,8,54,50,50,40
DEL03,2011,9,54,54,50,40
DEL03,2011,10,51,49,50,40
DEL03,2011,11,51,47,50,40
DEL03,2011,12,51,46,50,40
DEL04,2011,2,74,73,65,55
DEL04,2011,3,73,72,65,55
DEL04,2011,4,72,70,65,55
DEL04,2011,5,72,70,65,55
DEL04,2011,6,73,71,65,55
DEL04,2011,7,74,71,65,55
DEL04,2011,8,73,70,65,55
DEL04,2011,9,73,70,65,55
DEL04,2011,10,73,71,65,55
DEL04,2011,11,73,71,65,55
DEL04,2011,12,73,69,65,55
DEL05,2011,2,58,54,50,40
DEL05,2011,3,57,54,50,40
DEL05,2011,4,56,54,50,40
DEL05,2011,5,56,54,50,40
DEL05,2011,6,55,55,50,40
DEL05,2011,7,55,52,50,40
DEL05,2011,8,54,52,50,40
DEL05,2011,9,56,54,50,40
DEL05,2011,10,57,54,50,40
DEL05,2011,11,57,54,50,40
DEL05,2011,12,59,54,50,40
HYD01,2011,2,72,63,65,55
HYD01,2011,3,72,62,65,55
HYD01,2011,4,72,63,65,55
HYD01,2011,5,72,64,65,55
HYD01,2011,6,83,75,65,55
HYD01,2011,7,72,63,65,55
HYD01,2011,8,73,65,65,55
HYD01,2011,9,72,64,65,55
HYD01,2011,10,72,63,65,55
HYD01,2011,11,73,63,65,55
HYD01,2011,12,71,63,65,55
HYD02,2011,2,63,57,75,70
HYD02,2011,3,62,56,75,70
HYD02,2011,4,62,57,75,70
HYD02,2011,5,62,56,75,70
HYD02,2011,6,62,55,75,70
HYD02,2011,7,62,54,75,70
HYD02,2011,8,62,54,75,70
HYD02,2011,9,63,56,75,70
HYD02,2011,10,62,58,75,70
HYD02,2011,11,63,58,75,70
HYD02,2011,12,61,56,75,70
HYD03,2011,2,57,49,55,45
HYD03,2011,3,58,52,55,45
HYD03,2011,4,58,52,55,45
HYD03,2011,5,56,49,55,45
HYD03,2011,6,57,50,55,45
HYD03,2011,7,59,51,55,45
HYD03,2011,8,59,51,55,45
HYD03,2011,9,83,49,55,45
HYD03,2011,10,66,53,55,45
HYD03,2011,11,57,50,55,45
HYD03,2011,12,56,47,55,45
HYD04,2011,2,76,71,50,40
HYD04,2011,3,76,71,50,40
HYD04,2011,4,76,71,50,40
HYD04,2011,5,75,71,50,40
HYD04,2011,6,77,73,50,40
HYD04,2011,7,77,72,50,40
HYD04,2011,8,76,71,50,40
HYD04,2011,9,76,71,50,40
HYD04,2011,10,75,71,50,40
HYD04,2011,11,75,71,50,40
HYD04,2011,12,76,69,50,40
